"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1143","testDeleteBook","Gradle suite","Sun Nov 02 19:49:01 UTC 2025","passed","Sun Nov 02 19:49:02 UTC 2025","books.DeleteBookTest","Gradle test","books.DeleteBookTest","testDeleteBook"
"","309","testCreateNewBook","Gradle suite","Sun Nov 02 19:49:02 UTC 2025","passed","Sun Nov 02 19:49:02 UTC 2025","books.CreateBookTest","Gradle test","books.CreateBookTest","testCreateNewBook"
"","314","testGetBookByNonExistentID","Gradle suite","Sun Nov 02 19:49:03 UTC 2025","passed","Sun Nov 02 19:49:03 UTC 2025","books.ReadBookTest","Gradle test","books.ReadBookTest","testGetBookByNonExistentID"
"","795","testGetAuthorByID","Gradle suite","Sun Nov 02 19:49:00 UTC 2025","passed","Sun Nov 02 19:49:01 UTC 2025","authors.ReadAuthorTest","Gradle test","authors.ReadAuthorTest","testGetAuthorByID"
"","299","testGetBookByInvalidID","Gradle suite","Sun Nov 02 19:49:03 UTC 2025","passed","Sun Nov 02 19:49:03 UTC 2025","books.ReadBookTest","Gradle test","books.ReadBookTest","testGetBookByInvalidID"
"","313","testDeleteBookByInvalidID","Gradle suite","Sun Nov 02 19:49:03 UTC 2025","passed","Sun Nov 02 19:49:03 UTC 2025","books.DeleteBookTest","Gradle test","books.DeleteBookTest","testDeleteBookByInvalidID"
"","4493","testUpdateAuthor","Gradle suite","Sun Nov 02 19:48:56 UTC 2025","passed","Sun Nov 02 19:49:01 UTC 2025","authors.UpdateAuthorTest","Gradle test","authors.UpdateAuthorTest","testUpdateAuthor"
"","291","testUpdateBookWithNonExistentID","Gradle suite","Sun Nov 02 19:49:06 UTC 2025","failed","Sun Nov 02 19:49:06 UTC 2025","books.UpdateBookTest","Gradle test","books.UpdateBookTest","testUpdateBookWithNonExistentID"
"","313","testDeleteBookByInvalidID","Gradle suite","Sun Nov 02 19:49:02 UTC 2025","passed","Sun Nov 02 19:49:02 UTC 2025","books.DeleteBookTest","Gradle test","books.DeleteBookTest","testDeleteBookByInvalidID"
"","437","testGetAuthorsList","Gradle suite","Sun Nov 02 19:49:00 UTC 2025","passed","Sun Nov 02 19:49:00 UTC 2025","authors.ReadAuthorTest","Gradle test","authors.ReadAuthorTest","testGetAuthorsList"
"","306","testGetBookByInvalidID","Gradle suite","Sun Nov 02 19:49:02 UTC 2025","passed","Sun Nov 02 19:49:02 UTC 2025","books.ReadBookTest","Gradle test","books.ReadBookTest","testGetBookByInvalidID"
"","288","testUpdateBookWithInvalidID","Gradle suite","Sun Nov 02 19:49:05 UTC 2025","passed","Sun Nov 02 19:49:05 UTC 2025","books.UpdateBookTest","Gradle test","books.UpdateBookTest","testUpdateBookWithInvalidID"
"","309","testGetBookByNonExistentID","Gradle suite","Sun Nov 02 19:49:03 UTC 2025","passed","Sun Nov 02 19:49:04 UTC 2025","books.ReadBookTest","Gradle test","books.ReadBookTest","testGetBookByNonExistentID"
"","319","testDeleteBookByNonExistentID","Gradle suite","Sun Nov 02 19:49:03 UTC 2025","passed","Sun Nov 02 19:49:04 UTC 2025","books.DeleteBookTest","Gradle test","books.DeleteBookTest","testDeleteBookByNonExistentID"
"","3235","testGetAuthorByBookID","Gradle suite","Sun Nov 02 19:48:56 UTC 2025","passed","Sun Nov 02 19:49:00 UTC 2025","authors.ReadAuthorTest","Gradle test","authors.ReadAuthorTest","testGetAuthorByBookID"
"","933","testDeleteAuthor","Gradle suite","Sun Nov 02 19:49:05 UTC 2025","passed","Sun Nov 02 19:49:06 UTC 2025","authors.DeleteAuthorTest","Gradle test","authors.DeleteAuthorTest","testDeleteAuthor"
"","291","testGetBookByInvalidID","Gradle suite","Sun Nov 02 19:49:02 UTC 2025","passed","Sun Nov 02 19:49:03 UTC 2025","books.ReadBookTest","Gradle test","books.ReadBookTest","testGetBookByInvalidID"
"","300","testDeleteBookByInvalidID","Gradle suite","Sun Nov 02 19:49:02 UTC 2025","passed","Sun Nov 02 19:49:03 UTC 2025","books.DeleteBookTest","Gradle test","books.DeleteBookTest","testDeleteBookByInvalidID"
"","299","testUpdateBookWithEmptyRequestBody","Gradle suite","Sun Nov 02 19:49:04 UTC 2025","passed","Sun Nov 02 19:49:05 UTC 2025","books.UpdateBookTest","Gradle test","books.UpdateBookTest","testUpdateBookWithEmptyRequestBody"
"","808","testUpdateBook","Gradle suite","Sun Nov 02 19:49:04 UTC 2025","passed","Sun Nov 02 19:49:04 UTC 2025","books.UpdateBookTest","Gradle test","books.UpdateBookTest","testUpdateBook"
